area_id,area_name,b17001d001,b17001d001_moe,b17001d002,b17001d002_moe,b17001d003,b17001d003_moe,b17001d004,b17001d004_moe,b17001d005,b17001d005_moe,b17001d006,b17001d006_moe,b17001d007,b17001d007_moe,b17001d008,b17001d008_moe,b17001d009,b17001d009_moe,b17001d010,b17001d010_moe,b17001d011,b17001d011_moe,b17001d012,b17001d012_moe,b17001d013,b17001d013_moe,b17001d014,b17001d014_moe,b17001d015,b17001d015_moe,b17001d016,b17001d016_moe,b17001d017,b17001d017_moe,b17001d018,b17001d018_moe,b17001d019,b17001d019_moe,b17001d020,b17001d020_moe,b17001d021,b17001d021_moe,b17001d022,b17001d022_moe,b17001d023,b17001d023_moe,b17001d024,b17001d024_moe,b17001d025,b17001d025_moe,b17001d026,b17001d026_moe,b17001d027,b17001d027_moe,b17001d028,b17001d028_moe,b17001d029,b17001d029_moe,b17001d030,b17001d030_moe,b17001d031,b17001d031_moe,b17001d032,b17001d032_moe,b17001d033,b17001d033_moe,b17001d034,b17001d034_moe,b17001d035,b17001d035_moe,b17001d036,b17001d036_moe,b17001d037,b17001d037_moe,b17001d038,b17001d038_moe,b17001d039,b17001d039_moe,b17001d040,b17001d040_moe,b17001d041,b17001d041_moe,b17001d042,b17001d042_moe,b17001d043,b17001d043_moe,b17001d044,b17001d044_moe,b17001d045,b17001d045_moe,b17001d046,b17001d046_moe,b17001d047,b17001d047_moe,b17001d048,b17001d048_moe,b17001d049,b17001d049_moe,b17001d050,b17001d050_moe,b17001d051,b17001d051_moe,b17001d052,b17001d052_moe,b17001d053,b17001d053_moe,b17001d054,b17001d054_moe,b17001d055,b17001d055_moe,b17001d056,b17001d056_moe,b17001d057,b17001d057_moe,b17001d058,b17001d058_moe,b17001d059,b17001d059_moe
50,Pullman,39,53,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,39,53,14,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,20,0,19,7,20,0,19,0,19,0,19,25,37,7,20,0,19,0,19,0,19,0,19,0,19,6,19,0,19,6,20,6,18,0,19,0,19,0,19
51,South Deering,49,58,49,58,10,27,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,10,27,0,25,0,25,0,25,39,56,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,39,56,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,101,109,1,27,1,27,0,29,0,29,0,29,0,29,0,29,0,29,0,29,1,27,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,100,110,47,61,0,29,0,29,0,29,0,29,0,29,17,38,0,29,0,29,0,29,30,39,0,29,0,29,0,29,53,57,0,29,0,29,0,29,16,36,0,29,0,29,8,27,0,29,12,33,17,37,0,29,0,29,0,29
53,West Pullman,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39
54,Riverdale,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,34,57,34,57,17,31,0,19,0,19,17,31,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
56,Garfield Ridge,647,310,94,131,20,50,0,42,0,42,0,42,20,50,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,74,105,0,42,0,42,0,42,0,42,0,42,20,50,0,42,0,42,54,79,0,42,0,42,0,42,0,42,553,281,248,145,10,43,0,42,9,43,11,44,15,46,12,44,0,42,39,67,18,44,69,66,23,45,17,44,25,50,305,152,21,44,19,44,9,43,0,42,0,42,0,42,67,84,15,42,37,47,56,69,38,45,5,41,38,50
57,Archer Heights,212,178,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,212,178,125,123,0,27,0,27,11,28,0,27,0,27,0,27,53,82,0,27,11,28,15,32,31,45,4,26,0,27,87,65,0,27,25,32,0,27,0,27,0,27,0,27,6,27,0,27,25,31,25,45,6,27,0,27,0,27
58,Brighton Park,2756,498,383,200,183,104,27,46,9,45,5,43,0,43,0,43,0,43,57,57,13,45,17,46,25,49,30,46,0,43,0,43,200,111,10,45,0,43,0,43,23,48,0,43,15,47,14,47,22,48,46,54,25,49,28,46,1,40,16,47,2373,465,1211,241,53,59,21,52,54,63,52,58,8,40,49,47,194,89,213,84,201,93,255,88,68,49,37,49,6,43,1162,263,41,49,0,43,80,64,77,61,26,46,25,51,104,62,140,73,198,88,204,70,145,98,78,59,44,55
59,McKinley Park,2675,437,496,270,289,140,30,53,16,33,9,28,14,30,0,25,10,28,57,57,23,34,46,44,8,22,62,54,14,31,0,25,207,148,0,25,22,37,36,40,4,23,3,23,0,25,0,25,38,44,17,31,13,26,60,58,10,27,4,23,2179,408,1051,213,73,49,0,25,45,35,74,52,13,30,35,37,114,62,144,72,200,77,192,86,94,49,42,38,25,36,1128,243,74,52,11,27,68,46,32,40,53,52,26,35,119,62,123,61,206,65,225,90,136,70,29,34,26,33
60,Bridgeport,10768,980,2059,462,937,242,60,51,0,37,33,39,27,40,30,43,36,44,166,120,170,142,144,63,72,74,97,54,53,45,49,61,1122,306,23,39,3,35,74,71,34,40,20,41,76,55,184,88,119,73,165,81,184,139,107,52,44,47,89,70,8709,916,4397,536,126,73,19,38,216,93,137,83,9,36,135,92,610,164,750,208,559,143,947,186,614,166,164,74,111,67,4312,502,102,63,14,37,205,88,151,77,65,56,152,84,565,173,556,166,578,143,1108,193,433,108,267,110,116,68
61,New City,563,153,83,97,65,79,17,51,0,47,11,49,0,47,0,47,0,47,5,47,15,51,0,47,17,51,0,47,0,47,0,47,18,51,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,11,49,7,47,0,47,0,47,0,47,480,130,241,77,10,46,0,47,24,50,38,57,11,51,0,47,9,48,15,49,72,58,35,56,27,52,0,47,0,47,239,87,17,52,0,47,53,60,14,50,0,47,0,47,41,57,17,48,56,59,37,58,4,46,0,47,0,47
62,West Elsdon,306,159,40,40,40,40,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,29,28,36,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,266,156,123,75,31,43,0,27,0,27,0,27,0,27,0,27,12,24,24,27,19,30,0,27,20,23,8,20,9,29,143,92,0,27,0,27,15,36,0,27,0,27,0,27,0,27,50,42,14,31,21,28,22,26,1,24,20,30
63,Gage Park,471,240,109,96,71,89,0,41,0,41,0,41,0,41,0,41,0,41,0,41,49,86,9,44,0,41,13,44,0,41,0,41,38,44,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,13,43,13,43,12,39,362,220,180,119,14,46,12,43,0,41,41,56,0,41,11,41,41,58,11,43,19,45,23,46,0,41,8,41,0,41,182,109,0,41,0,41,8,41,21,50,0,41,21,50,10,41,20,43,29,50,44,53,11,43,9,41,9,40
64,Clearing,186,231,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,186,231,40,53,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,1,30,27,54,7,31,5,30,0,31,146,185,0,31,0,31,0,31,0,31,0,31,26,51,66,102,13,36,1,30,28,51,7,31,5,31,0,31
65,West Lawn,95,88,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,95,88,38,51,0,34,0,34,0,34,0,34,0,34,0,34,0,34,18,39,0,34,0,34,0,34,20,44,0,34,57,64,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,35,10,34,22,46,7,32,9,34
66,Chicago Lawn,436,304,78,129,28,61,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,25,62,0,49,3,48,0,49,0,49,50,94,26,64,0,49,0,49,0,49,0,49,0,49,0,49,0,49,24,62,0,49,0,49,0,49,0,49,358,280,175,140,0,49,0,49,4,49,0,49,0,49,1,47,12,50,60,85,0,49,0,49,64,72,34,53,0,49,183,148,0,49,0,49,0,49,1,47,0,49,0,49,5,50,64,89,0,49,52,70,21,49,26,54,14,51
67,West Englewood,41,65,26,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,26,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,26,61,0,48,0,48,0,48,0,48,0,48,15,52,15,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,52,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
68,Englewood,17,38,9,38,6,36,0,36,0,36,0,36,0,36,0,36,0,36,3,35,0,36,0,36,0,36,3,35,0,36,0,36,3,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,3,35,0,36,0,36,0,36,8,37,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,8,37,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,8,37,0,36,0,36
69,Greater Grand Crossing,21,51,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,21,51,14,43,0,38,0,38,0,38,0,38,0,38,0,38,6,38,0,38,0,38,8,39,0,38,0,38,0,38,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,0,38
70,Ashburn,114,97,43,78,21,50,11,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,10,41,0,41,0,41,0,41,0,41,22,51,0,41,0,41,0,41,0,41,0,41,0,41,9,40,0,41,0,41,0,41,0,41,0,41,13,43,71,68,11,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,11,41,0,41,60,60,0,41,0,41,11,41,0,41,0,41,0,41,17,47,21,44,0,41,0,41,11,43,0,41,0,41
71,Auburn Gresham,77,126,1,44,1,44,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,1,44,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,76,126,43,87,10,48,0,46,10,48,0,46,0,46,0,46,0,46,0,46,10,47,0,46,0,46,13,50,0,46,33,62,0,46,0,46,0,46,0,46,0,46,0,46,0,46,10,48,0,46,0,46,14,50,9,47,0,46
72,Beverly,61,59,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,59,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,59,0,29,0,29,7,29,15,37,0,29,16,31,7,29,0,29,0,29,5,28,0,29,0,29,11,33
73,Washington Heights,2,30,1,29,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,1,29,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,1,29,1,30,1,30,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,1,30,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,116,167,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,116,167,36,58,17,34,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,19,36,0,25,0,25,0,25,80,114,0,25,0,25,18,34,17,34,0,25,0,25,0,25,0,25,21,35,0,25,0,25,24,42,0,25
75,Morgan Park,110,89,1,29,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,1,29,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,1,29,0,31,109,89,43,51,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,24,49,0,31,5,31,0,31,14,36,66,71,0,31,0,31,0,31,0,31,0,31,0,31,11,34,0,31,38,68,4,31,0,31,13,36,0,31
76,O'Hare,1173,435,146,171,94,110,0,38,0,38,34,61,0,38,0,38,0,38,0,38,0,38,27,57,21,47,0,38,0,38,12,42,52,75,0,38,0,38,0,38,0,38,0,38,6,42,0,38,0,38,34,60,0,38,12,41,0,38,0,38,1027,425,509,217,61,67,6,38,0,38,0,38,0,38,0,38,38,72,250,160,65,75,62,71,18,48,0,38,9,40,518,260,37,69,0,38,0,38,0,38,0,38,0,38,84,98,158,116,51,66,53,70,126,105,0,38,9,39
77,Edgewater,6568,931,1307,446,550,197,8,49,0,48,21,53,0,48,0,48,20,56,123,108,156,102,81,83,33,59,70,74,15,49,23,52,757,376,0,48,0,48,0,48,0,48,0,48,5,48,319,342,101,72,37,73,71,70,94,75,54,75,76,81,5261,800,2553,433,52,71,7,49,93,94,7,49,49,77,54,65,189,103,424,153,736,225,309,127,290,131,163,106,180,110,2708,457,103,88,13,51,97,95,87,93,44,74,40,66,249,146,669,204,330,123,382,157,326,152,216,106,152,83
